postcode,lat,lon
2580,-34.440,149.960
2581,-34.920,149.240
2582,-34.750,148.960
2583,-34.080,149.150
2584,-34.670,148.630
2585,-34.600,148.560
2586,-34.440,148.720
2587,-34.550,148.370
2588,-34.520,148.160
2590,-34.760,147.850
2594,-34.430,148.070
2600,-35.310,149.140
2601,-35.280,149.110
2602,-35.260,149.150
2603,-35.320,149.120
2604,-35.320,149.150
2605,-35.320,149.080
2606,-35.350,149.080
2607,-35.380,149.100
2608,-35.280,149.130
2609,-35.300,149.190
2610,0.000,0.000
2611,-35.560,148.620
2612,-35.270,149.130
2614,-35.260,149.080
2615,-35.200,149.030
2616,-35.250,149.070
2617,-35.240,149.070
2618,-35.520,149.080
2619,-35.380,149.200
2620,-35.580,149.230
2621,-35.810,149.430
2622,-35.650,149.810
2623,-35.550,149.450
2624,-36.180,148.440
2625,-36.510,148.300
2626,-35.960,149.150
2627,-36.440,148.510
2628,-36.440,148.700
2629,-36.000,148.770
2630,-36.370,148.950
2631,-36.740,149.260
2632,-36.820,149.280
2633,-36.930,148.830
2640,-36.080,146.910
2641,-36.040,146.920
2642,-35.440,146.440
2643,-35.960,146.610
2644,-35.960,147.130
2645,-35.130,146.130
2646,-35.850,146.520
2647,-35.950,145.960
2648,-34.150,142.090
2649,-35.600,148.090
2650,-35.160,147.510
2651,-32.710,151.550
2652,-34.040,146.030
2653,-35.830,148.070
2655,-35.320,147.190
2656,-35.120,147.000
2658,-35.440,146.990
2659,-35.600,146.790
2660,-35.670,147.000
2661,-35.150,147.300
2663,-35.150,145.980
2665,-34.360,146.900
2666,-34.460,147.680
2668,-34.180,147.410
2669,-33.500,146.800
2671,-34.110,147.140
2672,-33.390,146.580
2675,-33.480,145.530
2678,-35.060,147.350
2680,-34.260,146.100
2681,-34.180,146.110
2700,-35.030,146.610
2701,-34.820,147.200
2702,-34.790,147.040
2703,-34.630,146.400
2705,-34.490,146.430
2706,-34.560,146.010
2707,-34.860,145.670
2708,0.000,0.000
2710,-35.230,144.490
2711,-33.680,144.750
2712,-35.660,145.810
2713,-35.590,145.290
2714,-35.510,145.050
2715,-33.870,142.890
2716,-35.350,145.530
2717,-34.090,142.040
2720,-35.320,148.450
2721,-33.990,147.680
2722,-34.820,148.080
2725,-34.510,147.880
2726,-34.910,148.320
2727,-35.080,148.410
2729,-35.310,148.060
2730,-31.490,152.660
2731,-35.790,144.630
2732,-35.630,144.130
2733,-35.190,144.160
2734,-35.250,143.900
2735,-35.660,144.140
2736,-34.960,143.340
2737,-34.510,142.850
2738,-34.180,142.220
2739,-34.170,142.180
2745,-33.790,150.670
2747,-33.740,150.720
2748,-33.780,150.720
2749,-33.670,150.680
2750,-33.740,150.650
2751,-33.730,151.280
2752,-33.940,150.580
2753,-33.620,150.710
2754,-33.580,150.720
2755,-33.600,150.800
2756,-33.640,150.790
2757,-33.550,150.700
2758,-33.540,150.440
2759,-33.810,150.790
2760,-33.780,150.790
2761,-33.730,150.870
2762,-33.700,150.890
2763,-33.730,150.910
2765,-33.670,150.800
2766,-33.800,150.850
2767,-33.770,150.870
2768,-33.740,150.920
2769,-34.050,150.750
2770,-33.730,150.820
2773,-33.770,150.620
2774,-33.740,150.610
2775,-33.330,150.980
2776,-33.700,150.530
2777,-33.670,150.650
2778,-33.790,150.040
2779,-33.720,150.450
2780,-33.710,150.310
2782,-33.710,150.380
2783,-33.720,150.430
2784,-33.720,150.410
2785,-33.640,150.280
2786,-33.510,150.280
2787,-33.840,149.710
2790,-33.220,150.020
2791,-33.610,149.140
2792,-33.590,149.030
2793,-33.930,148.860
2794,-33.910,148.460
2795,-33.910,149.330
2796,0.000,0.000
2797,-33.710,149.030
2798,-33.340,149.250
2799,-33.650,149.270
2800,-33.120,149.030
2803,-34.160,148.450
2804,-33.680,148.620
2805,-33.650,148.410
2806,-33.430,148.370
2807,-34.040,148.550
2808,-33.940,149.050
2809,-34.040,148.400
